,NeighborhoodName,LargerDistrictName,Latitude,Longitude,Population,HouseholdIncome,AsiansPercent
110,North Admiral[153] ,West Seattle[151],Latitude Unavailable,Longitude Unavailable,23552,89652,12
111,Junction[154] ,West Seattle[151],Latitude Unavailable,Longitude Unavailable,10114,95714,9
112,Seaview[155] ,West Seattle[151],Latitude Unavailable,Longitude Unavailable,5282,106203,5
113,Fairmount Park,West Seattle[151],47.57985125,-122.3822514,7957,116093,4
114,Genesee,West Seattle[151],47.5648206,-122.3679048,8025,116281,8
115,Gatewood,West Seattle[151],47.5365596,-122.385326,8003,65626,12
116,Fauntleroy,West Seattle[151],47.5223995,-122.3934168,8203,72428,25
117,Arbor Heights,West Seattle[151],47.512899,-122.3813585,4442,118587,5
118,Delridge,West Seattle / South End[161],47.5521233,-122.3638741,16222,93810,8
119,North Delridge,Delridge[162],47.5521233,-122.3638741,56001,89565,11
120,Pigeon Point,Delridge,47.5711631,-122.3592519,8203,72428,17
121,Riverview,Delridge[164],47.5393827,-122.3491887,7845,63283,14
122,Highland Park,Delridge[165],47.528432,-122.3526261,10114,95714,6
123,South Delridge,Delridge[166],47.5521233,-122.3638741,5282,106203,22
124,Roxhill,Delridge[167],47.51921415,-122.3685985,7957,116093,15
125,High Point,Delridge[168],47.5384514,-122.3773869,4392,110923,11
